,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,mstype
68,36,41,37,20,35,58,41,47,48,45,38,41,51,23,43,39,27,41,32,51,43,50,63,35,47,56,63,57,50,15,56,39,52,38,27,49,29,27,42,55,39,12,50,26,27,32,42,38,16,31,55,44,46,43,44,37,38,52,25,41,39,30,42,31,46,40,47,62,27,52,57,61,57,47,16,57,0
69,36,42,33,20,35,57,39,40,43,41,37,40,49,16,42,45,29,43,26,51,39,50,60,39,51,56,59,52,48,18,57,71,54,63,54,40,26,26,71,57,64,52,43,26,27,35,41,37,9,24,54,38,43,33,39,32,39,49,17,39,40,35,43,26,43,42,45,64,28,52,56,63,53,45,16,57,0
70,36,44,38,22,41,61,43,49,49,44,41,42,50,22,36,41,31,42,36,50,44,48,65,39,50,57,64,57,53,19,57,71,54,68,55,47,31,35,71,56,68,58,49,29,34,36,42,44,18,34,60,46,47,44,42,39,38,57,26,39,40,34,43,33,45,41,43,64,30,54,57,64,60,49,19,57,0
71,38,44,38,21,39,59,41,52,49,47,39,43,53,21,38,45,30,44,36,51,43,50,64,36,51,57,63,56,52,20,58,71,55,69,56,45,31,28,71,58,68,54,52,29,31,34,44,43,18,30,60,45,49,47,44,39,39,54,27,41,41,34,43,32,50,45,46,65,35,53,57,64,57,50,19,59,0
72,38,44,34,19,41,60,44,54,47,44,40,43,56,21,41,42,31,44,35,49,41,46,65,35,49,57,63,59,52,20,58,69,54,67,55,46,30,33,70,57,67,56,51,26,28,31,44,40,12,33,56,46,52,46,43,39,38,57,22,41,39,35,42,32,46,38,45,66,30,50,57,61,59,47,17,59,0
73,38,43,38,24,40,61,44,53,49,47,41,45,57,22,42,46,29,44,36,51,45,49,65,40,51,57,64,61,52,18,60,71,56,69,56,51,32,36,71,61,68,60,56,29,37,37,41,40,18,34,60,45,50,45,44,40,42,57,27,41,41,34,42,35,47,44,46,66,35,54,58,65,61,49,19,58,-1
74,36,44,36,22,40,60,43,53,49,47,41,44,56,23,43,45,30,43,36,50,43,48,65,36,51,56,63,58,53,19,52,70,47,64,54,49,31,35,71,56,65,55,52,30,34,30,44,42,18,31,58,46,44,47,42,40,36,56,25,39,39,34,40,34,45,36,46,65,31,52,58,64,58,48,17,51,-1
75,40,44,38,21,41,61,43,53,48,48,41,45,57,24,41,46,31,44,36,50,45,48,65,41,51,56,64,61,51,19,56,72,55,68,57,51,31,35,71,60,68,59,50,30,36,37,43,43,16,32,60,45,49,47,45,40,42,56,28,42,40,35,43,35,50,43,46,66,35,53,58,64,61,50,18,58,-1
76,39,44,37,22,41,61,44,54,47,46,40,44,54,20,41,46,31,43,35,51,44,50,64,40,50,57,63,61,53,20,58,71,52,68,57,51,31,35,71,60,68,55,51,27,35,34,43,43,15,32,58,46,50,48,44,39,42,52,19,42,40,36,41,34,47,42,47,65,34,53,57,63,60,48,20,56,-1
77,38,44,38,24,41,58,44,55,49,44,40,43,57,26,44,45,28,44,36,52,44,50,65,40,51,56,64,60,51,20,60,72,53,69,57,51,30,36,72,61,66,57,52,28,36,35,41,43,18,34,59,46,49,45,42,39,42,54,27,42,40,34,43,35,50,41,45,65,36,53,57,64,60,49,17,58,-1
78,39,41,38,22,37,61,43,55,48,46,41,44,56,24,42,46,29,44,36,51,44,50,65,40,51,55,63,61,52,19,60,71,56,66,56,52,32,36,71,61,68,59,55,30,36,35,42,42,17,34,60,44,51,48,44,40,42,55,25,42,41,32,43,35,49,42,47,66,34,53,57,62,61,50,20,59,-1
79,36,44,38,23,39,59,44,52,49,46,40,43,55,25,41,46,30,43,35,50,43,49,65,37,51,57,63,59,52,20,56,68,53,66,55,48,29,34,72,58,66,57,53,28,33,34,41,44,18,31,59,45,50,48,42,40,42,56,28,42,39,34,43,35,47,43,46,66,32,54,58,65,58,50,18,54,-1
80,37,44,38,24,39,61,44,56,49,48,39,43,57,25,44,44,30,43,36,52,43,50,64,39,51,57,64,60,53,19,59,72,54,67,56,51,32,36,72,60,67,56,55,30,36,37,43,44,17,33,60,46,52,44,44,40,42,57,27,42,41,36,41,35,49,43,46,66,35,54,58,65,60,50,20,57,-1
81,37,43,38,21,41,61,42,54,48,45,41,44,51,26,41,46,28,44,36,51,44,48,65,41,51,56,64,60,51,19,60,71,56,69,57,45,32,33,72,59,67,58,52,29,36,36,43,42,15,34,60,46,52,48,45,40,40,57,26,41,40,34,43,35,49,41,46,65,36,54,57,64,60,47,20,59,-1
82,39,43,38,23,39,61,44,56,49,48,41,44,56,25,43,45,30,43,36,51,44,49,65,40,50,57,64,61,51,18,61,71,55,68,57,50,31,36,72,61,68,58,55,30,37,37,44,43,18,33,60,45,51,47,45,39,42,56,28,42,41,33,43,35,49,43,46,66,36,54,58,65,59,50,18,59,-1
